nam,1,74.5,82.9,8.9,10.4,5.5,9.9 
nu,1,74,81.7,8.9,10.1,5.5,9.9
nam,2,81.7,93.9,9.7,15.3,5.5,9.9 
nu,2,80,92.9,9,14.8,5.5,9.9 
nam,3,88.1,107.2,11.3,18.3,5.5,9.9 
nu,3,87.4,102.7,10.8,18.1,5.5,9.9
nam,4,94.1,115.9,12.7,21.2,5.5,9.9
nu,4,94.1,111.3,12.3,21.5,5.5,9.9
nam,5,100.7,123.9,14.1,24.2,5.5,9.9
nu,5,99.9,118.9,13.8,24.9,5.5,9.9
nam,6,111.2,121,18.4,24.6,4.95,9.9
nu,6,109.7,119.6,18.3,22.9,4.95,9.9
nam,7,120,123.9,20,24,9,4.95,9.9
nu,7,123.5,125.1,22,26,4,4.95,9.9
nam,8,125,131.7,24.5,30.7,4.95,9.9
nu,8,127.6,135.3,25,31,4.95,9.9
nam,9,130.1,135.3,27.3,32.5,4.95,9.9
nu,9,132.3,138,28.5,33.4,4.95,9.9
nam,10,133,140.4,28.1,33.2,4.95,9.9
nu,10,137,142.3,29,33.5,4.95,9.9




